,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2021,X2022,X2023,X2024,X2025,X2026,X2027,X2028,X2029,X2030,X2031,X2032,X2033,X2034,X2035,X2036,X2037,X2038,X2039,X2040,X2061,X2062,X2063,X2064,X2065,X2066,X2067,X2068,X2069,X2070,X2071,X2072,X2073,X2074,X2075,X2076,X2077,X2078,X2079,X2080,OBJECTID,CTRY20CD,CTRY20NM,BNG_E,BNG_N,LONG,LAT,Shape__Are,Shape__Len,geometry,
12433,17.93386,17.33708,17.33708,18.048576,19.559725,17.740683,19.774961,18.73142,18.163515,19.075567,16.94134,16.99849,17.316126,18.48478,18.960154,19.120043,18.51067,19.793013,19.26679,18.798517,19.829802,19.707458,22.803162,18.087036,23.563059,20.541374,20.0419,20.23271,19.954924,20.029144,19.146774,21.577652,20.702192,21.696661,19.527214,20.702387,19.881569,19.834639,21.360018,19.8603,24.15696,23.533577,23.220535,25.455376,25.63694,23.805712,26.183922,25.3706,22.88595,25.692553,23.841913,26.75517,24.43577,26.285934,25.303045,27.358114,23.517534,24.488188,26.45648,27.027498,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(167500, 22500)
12434,17.770496,17.18427,17.18427,17.882212,19.35177,17.495806,19.540365,18.407198,17.889482,18.84559,16.763735,16.808702,17.002838,18.257195,18.581549,18.920868,18.300266,19.501541,19.098202,18.618965,19.568647,19.486877,22.49344,17.90043,23.260925,20.296408,19.83036,20.103159,19.758188,19.807514,18.932898,21.279993,20.533878,21.367666,19.250021,20.442816,19.624971,19.638693,21.193813,19.617548,23.727186,23.3435,22.901901,25.102854,25.23661,23.458364,25.766426,25.078672,22.753012,25.412315,23.501265,26.378036,24.076775,25.97644,24.975973,26.786072,23.121714,24.08055,26.169233,26.73214,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(167500, 17500)
12672,17.393108,16.867685,16.867685,17.450895,18.850245,17.235994,19.058401,18.140541,17.625433,18.562826,16.496298,16.58392,16.820007,18.003813,17.830667,18.360327,17.876917,19.228256,18.480278,18.370962,18.642092,19.000528,22.012543,17.287613,22.087378,19.769419,19.057257,19.699135,19.67328,19.414913,18.691673,20.987818,20.222878,20.410982,18.868729,19.66924,19.262943,19.121174,20.34184,18.936945,23.110418,22.075783,22.33233,23.789606,24.160393,23.65541,24.90415,24.001144,21.369463,24.022202,22.85177,24.86818,23.405504,24.44641,23.40155,25.85393,22.063988,23.10525,24.65007,25.158455,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(172500, 47500)
12673,17.547026,16.963701,16.963701,17.54437,18.935776,17.323633,19.04961,18.250626,17.686796,18.59728,16.467695,16.695024,16.848473,18.106161,18.07686,18.433754,18.012495,19.299513,18.6138,18.399979,18.948713,19.100107,22.141417,17.473375,22.475702,19.905134,19.2284,19.649221,19.73811,19.44474,18.749168,21.024176,20.350046,20.779383,19.07578,19.912193,19.367968,19.24832,20.484291,19.073372,23.379988,22.515457,22.61907,24.118963,24.485497,23.56629,25.142317,24.369959,21.749994,24.393774,23.362892,25.34188,23.84446,24.94515,23.866812,26.348763,22.52603,23.492014,25.152681,25.764603,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(172500, 42500)
12674,17.22772,16.615763,16.615763,17.20597,18.570656,16.974932,18.629154,17.969408,17.286226,18.207987,16.057135,16.305475,16.502438,17.760244,17.8911,18.058233,17.66635,18.944742,18.327787,17.924364,18.749777,18.719284,21.690252,17.211424,22.292793,19.490768,18.917204,19.243103,19.299782,19.160416,18.383211,20.576918,20.019287,20.726562,18.685904,19.634119,18.878874,18.95569,20.22576,18.836962,23.150923,22.373472,22.386038,24.048693,24.264368,23.011023,24.984018,24.009272,21.694351,24.177828,23.207682,25.293983,23.715693,24.834131,23.935965,26.085688,22.528114,23.445211,25.015463,25.74431,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(172500, 37500)
12675,17.218369,16.600332,16.600332,17.209295,18.60286,16.96854,18.631134,17.905561,17.239477,18.191061,16.02477,16.27669,16.536642,17.739538,17.991234,18.058523,17.659216,18.967823,18.357817,17.827303,18.896463,18.828638,21.591696,17.318392,22.400284,19.536402,19.061152,19.312351,19.177042,19.159958,18.37451,20.579073,20.044552,20.958542,18.715538,19.736555,18.872427,18.915316,20.361212,18.903257,23.157343,22.494202,22.39222,24.438196,24.569221,23.012339,25.138384,24.22763,21.939064,24.444162,23.391783,25.53952,23.80324,24.958094,24.224585,26.201925,22.795113,23.662344,25.207344,26.100998,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(172500, 32500)
12676,17.87937,17.291428,17.291428,17.928885,19.288473,17.765642,19.453846,18.69771,17.98522,18.911283,16.803314,17.005442,17.270838,18.422318,18.846045,18.863884,18.391993,19.671463,19.175463,18.55158,19.760847,19.731348,22.491457,18.183325,23.309515,20.486917,20.018974,20.1239,19.814095,19.959568,19.076841,21.329344,20.775179,21.76029,19.533583,20.595675,19.722878,19.727224,21.22925,19.769552,23.93247,23.318754,23.133348,25.336493,25.429184,23.72551,25.89592,25.161814,22.883707,25.289091,24.0344,26.523117,24.523956,25.805708,25.129576,26.903696,23.586767,24.506859,26.103157,26.773895,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(172500, 27500)
12677,17.926682,17.352345,17.352345,18.013647,19.39045,17.767408,19.656206,18.727764,18.07463,19.001078,16.890139,17.041725,17.280077,18.423323,18.971107,19.070786,18.488329,19.74956,19.20923,18.64806,19.875755,19.82263,22.6881,18.210129,23.501608,20.53943,20.009909,20.17762,19.868088,20.034407,19.11896,21.418427,20.782637,21.800543,19.610321,20.703856,19.881317,19.807367,21.373917,19.863771,24.030935,23.518686,23.184183,25.426376,25.56296,23.71585,26.118567,25.399103,23.049726,25.50502,23.997696,26.725672,24.526037,26.139208,25.333147,26.898386,23.637238,24.538992,26.382347,26.888634,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(172500, 22500)
12678,17.597277,17.02153,17.02153,17.686405,19.044153,17.35659,19.268295,18.274424,17.74089,18.641775,16.54267,16.716673,16.877586,17.995993,18.478577,18.740969,18.210691,19.35247,18.881716,18.345062,19.545912,19.486683,22.272514,17.917446,23.160158,20.219711,19.708357,19.940042,19.5103,19.703987,18.784945,21.052795,20.44954,21.432554,19.197115,20.31962,19.49938,19.506714,21.136658,19.525198,23.528708,23.26145,22.780252,24.971655,25.046572,23.26024,25.625137,25.052889,22.751661,25.198013,23.627035,26.415663,23.993582,25.765089,24.986494,26.21849,23.251959,23.983566,26.087488,26.47727,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(172500, 17500)
12914,17.79878,17.190897,17.190897,17.880592,19.314672,17.552467,19.645884,18.591135,18.00503,18.928572,16.933466,16.911615,17.194283,18.456038,18.223646,18.650366,18.261515,19.713839,18.937769,18.780767,19.053858,19.280792,22.476145,17.58327,22.580309,20.074152,19.328613,20.197815,20.09493,19.802979,19.169928,21.386557,20.555273,20.567444,19.161276,20.065536,19.585506,19.542826,20.777838,19.262531,23.328562,22.418867,22.686213,24.200827,24.519142,24.171143,25.540535,24.362123,21.810707,24.451113,23.033258,25.190756,23.728003,24.893805,23.742403,26.433487,22.28199,23.51047,24.978281,25.293678,1,E92000001,England,394883,370883,-2.07811,53.23497,1.30458E+11,12499153.62,c(177500, 57500)
